Reg. No.,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Mid,Project
E/12/088,1.92,1.78,1.74,1.9,1.18,0,0,0,6.6,0.00
E/13/004,2,2,1.9,0.7,1.48,1.9,2,2,10,14.47
E/13/010,2,1.88,1.68,0.7,1.36,1.9,0.54,2,3.6,10.13
E/13/011,1.92,1.84,1.88,1.96,1.38,1.9,2,2,8,14.47
E/13/013,1.92,2,1.94,1.96,1.86,2,2,2,5,19.67
E/13/019,2,1.92,1.94,1.93,1.82,2,2,1.6,10.6,19.67
E/13/041,1.92,1.88,1.8,1.98,1.8,2,1.8,2,9.9,19.67
E/13/043,1.98,1.8,1.94,1.94,1.5,2,2,2,9.4,18.90
E/13/052,2,1.86,1.94,1.91,1.08,2,1.8,1.6,6.4,18.90
E/13/056,1.98,1.9,1.94,1.98,1.44,2,2,2,12,18.90
E/13/057,1.94,2,1.94,2,1.57,2,1.8,2,9.5,19.40
E/13/058,2,2,1.96,1.98,1.56,2,2,2,5.2,19.40
E/13/061,1.88,2,1.96,2,1.61,2,2,2,8.6,19.40
E/13/073,1.94,1.94,2,1.99,1.62,2,2,2,11.3,18.90
E/13/095,1.82,1.76,1.8,1.88,1.84,2,1.45,2,8.7,18.90
E/13/101,1.94,2,2,2,1.84,2,1.8,2,6.8,18.90
E/13/106,1.94,2,1.94,1.9,1.66,2,1.08,2,5.1,18.33
E/13/107,1.98,2,2,2,1.84,2,2,2,10.2,18.33
E/13/110,2,1.88,2,1.99,1.78,2,2,2,16.7,18.33
E/13/119,2,1.72,1.94,1.94,1.86,2,2,1.54,5.2,13.80
E/13/120,2,1.8,1.9,1.98,1.82,2,2,2,14.4,13.80
E/13/132,1.74,1.88,1.74,1.76,1.68,2,0,2,3.6,13.80
E/13/135,2,1.84,1.96,1.94,1.58,1.9,2,2,15.4,14.90
E/13/160,1.76,1.72,1.76,1.94,1.5,1.9,2,2,6,14.90
E/13/170,1.86,2,1.9,1.96,1.64,1.9,2,2,11,14.90
E/13/175,1.88,2,1.96,2,1.69,2,2,2,13.2,18.63
E/13/181,1.84,2,2,2,1.47,2,2,2,16.6,18.63
E/13/183,2,1.96,1.96,2,1.59,2,2,2,11.6,13.04
E/13/185,1.82,1.96,1.9,1.96,1.7,2,1.78,1.6,12,6.58
E/13/186,1.74,1.88,1.84,1.84,1,2,1.905,1.58,3,7.90
E/13/192,1.86,1.84,1.94,1.92,1.46,2,2,2,4.9,13.17
E/13/200,2,2,1.96,1.88,1.54,2,1.685,2,5,17.67
E/13/206,2,1.96,1.99,1.96,1.58,2,2,2,17.6,17.67
E/13/216,1.99,2,2,1.96,1.68,2,2,2,14.5,17.67
E/13/220,1.96,1.8,1.94,1.94,1.74,2,2,1.6,6,13.73
E/13/222,2,2,1.98,1.94,1.8,2,2,2,13.6,13.73
E/13/234,1.88,1.98,2,1.73,1.78,2,2,2,4.8,13.73
E/13/237,2,1.92,1.98,1.98,1.42,2,1.8,2,17.2,18.60
E/13/239,1.94,1.88,1.97,1.88,1.28,2,2,2,7.5,18.60
E/13/244,1.98,1.92,1.98,1.98,1.48,2,2,2,12.6,18.60
E/13/258,2,2,1.94,1.97,1.34,1.8,1.8,2,6.6,16.13
E/13/274,1.8,1.9,2,2,1.42,1.8,2,2,4.6,16.13
E/13/276,1.86,1.92,1.98,1.93,1.44,1.8,1.8,2,3.9,16.13
E/13/277,2,1.88,1.76,1.99,1.47,2,2,2,9.8,16.73
E/13/285,1.82,1.76,1.98,1.94,1.58,2,1.14,0.66,4.6,16.73
E/13/286,2,1.88,2,2,1.62,2,2,2,12.6,16.73
E/13/303,1.94,1.98,1.98,2,1.68,2,2,2,8,20.00
E/13/315,1.94,2,1.96,2,1.7,2,2,2,12.8,20.00
E/13/319,1.82,2,2,1.94,1.68,2,2,1.4,7,20.00
E/13/320,1.94,2,1.88,1.98,1.44,2,1.9,2,8.6,18.27
E/13/347,1.94,1.96,1.94,2,1.38,2,1.8,2,7.6,18.27
E/13/349,1.88,2,1.86,2,1.36,2,1.8,1.6,8.2,18.27
E/13/356,2,1.96,1.98,2,1.36,2,2,2,10.1,13.73
E/13/363,1.88,2,1.98,2,1.22,2,1.01,1.44,2.9,11.56
E/13/366,1.94,1.96,1.96,1.98,1.5,2,2,2,7.6,14.45
E/13/377,1.88,1.92,2,1.96,1.46,2,1.485,2,7.8,19.67
E/13/396,1.92,1.88,1.96,2,1.24,2,2,2,9.2,19.67
E/13/397,1.98,2,1.92,1.84,1.42,2,1.48,2,9.6,19.67
E/13/402,1.94,1.84,1.96,1.92,1.9,2,1.9,2,10.4,14.03
E/13/415,1.94,2,2,1.9,1.9,2,2,1.54,12.8,14.03
E/13/420,2,2,1.96,2,1.82,2,1.845,1.7,10,14.03
MAXIMUM,2,2,2,2,2,2,2,2,20,20.00
