E Number,Start,CS 1,Lab 1,Lab 2,Lab 3
E/14/009,0,1.7,1.5,1.5,1.5
E/14/010,0,1.5,1.5,1.5,0
E/14/011,0,1.5,1.5,0.835,1.5
E/14/012,0,0.4,1.3425,0.45,0.9
E/14/017,0,1.6,1.059,1.5,1.5
E/14/018,0,1.5,1.4895,1.5,1.5
E/14/021,0,1.8,0.375,1.465,1.5
E/14/028,0,2,1.5,1.5,1.5
E/14/037,0,1.5,1.5,1.5,1.5
E/14/049,0,1.8,1.269,1.5,0.9
E/14/054,0,1.5,1.5,1.5,1.5
E/14/065,0,1.7,1.5,1.5,1.2
E/14/068,0,1.7,1.35,1.5,1.5
E/14/080,0,1.9,1.269,1.5,1.5
E/14/084,0,2,1.5,1.5,1.5
E/14/108,0,1.6,1.5,1.5,1.5
E/14/125,0,1.6,1.5,1.5,1.5
E/14/136,0,1.6,1.4265,1.5,0
E/14/141,0,1.6,1.5,1.5,1.5
E/14/142,0,1.7,1.5,1.5,1.5
E/14/144,0,1.7,1.5,1.325,1.5
E/14/154,0,1.6,1.4895,1.5,1.5
E/14/158,0,1.7,1.5,1.5,0.9
E/14/178,0,1.6,1.3635,1.5,0.9
E/14/181,0,1.7,1.4895,0.45,1.5
E/14/194,0,2,1.5,1.5,1.5
E/14/198,0,1.7,1.5,1.5,0.6
E/14/213,0,1.9,1.5,1.5,1.5
E/14/216,0,2,1.269,1.5,1.5
E/14/222,0,1.5,1.269,1.5,1.5
E/14/228,0,1.8,1.3425,1.35,1.5
E/14/233,0,1.7,1.5,0.835,1.5
E/14/237,0,0.4,1.4895,1.5,0.6
E/14/238,0,1.7,1.35,1.43,1.5
E/14/240,0,2,1.5,1.5,1.5
E/14/243,0,1.9,1.5,1.5,1.2
E/14/244,0,1.8,1.5,1.5,1.5
E/14/262,0,1.9,1.5,1.5,1.2
E/14/277,0,1.7,1.5,1.5,0.6
E/14/287,0,1.7,1.458,1.5,1.5
E/14/298,0,1.6,1.2585,1.5,1.5
E/14/302,0,1.8,1.5,1.325,1.5
E/14/305,0,2,1.3425,1.185,1.5
E/14/311,0,1.8,0.7125,0.45,1.5
E/14/314,0,2,1.05,1.465,1.5
E/14/317,0,1.7,1.4895,1.5,1.5
E/14/322,0,1.6,1.5,1.5,0.6
E/14/335,0,1.9,1.5,0.45,0
E/14/336,0,2,1.3425,1.5,1.5
E/14/337,0,1.6,1.5,1.5,1.5
E/14/339,0,1.6,1.5,1.5,1.5
E/14/349,0,2,1.5,1.36,1.5
E/14/352,0,2,1.3425,1.43,0
E/14/364,0,1.7,1.5,1.35,0
E/14/379,0,1.7,1.5,1.08,0.9
E/14/380,0,1.9,1.5,1.185,0.6
E/14/390,0,2,1.5,1.5,1.5
E/14/402,0,1.8,1.5,1.5,1.5
E/14/403,0,1.6,1.122,1.5,1.5
E/14/404,0,1.7,1.4895,1.5,0.6
E/14/410,0,1.8,1.5,1.465,1.5
E/14/413,0,2,1.4265,1.5,1.5
Maximum,0,2,1.5,1.5,1.5
